t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
11,0.07549999999999998,0.9245,16.558339780981218,20,131,6.55,1.0201978760065642,0.53581103078538,0.0,1M,pooled_trailing
12,0.07599999999999998,0.924,16.436395062515942,20,131,6.55,0.05305011434559204,0.05242791282616473,0.0,1M,pooled_trailing
13,0.07649999999999998,0.9235,16.31445034405061,20,131,6.55,0.05344664509728764,0.05344188737345903,0.0,1M,pooled_trailing
14,0.07699999999999999,0.923,16.192505625585305,20,131,6.55,0.053849148344160415,0.05384435479021964,0.0,1M,pooled_trailing
15,0.07749999999999999,0.9225,16.070560907119972,20,131,6.55,0.05425776004554274,0.05425293011772621,0.0,1M,pooled_trailing
16,0.07799999999999999,0.922,15.948616188654698,20,131,6.55,0.05467262031900125,0.05466775346107236,0.0,1M,pooled_trailing
17,0.07849999999999999,0.9215,15.826671470189366,20,131,6.55,0.05509387360053429,0.05508896924339901,0.0,1M,pooled_trailing
18,0.07899999999999999,0.921,15.704726751724063,21,131,6.238095238095238,0.05551178393484523,0.05523158588601284,0.0,1M,pooled_trailing
19,0.07949999999999999,0.9205,15.03897808630895,21,131,6.238095238095238,0.057383987506210876,0.05673993186679467,0.0,1M,pooled_trailing
20,0.07999999999999999,0.92,14.31094350626554,21,131,6.238095238095238,0.05894961802808408,0.05819739178410568,0.0,1M,pooled_trailing
21,0.08049999999999999,0.9195,13.582908926221801,21,131,6.238095238095238,0.0621092770258679,0.06164586389157228,0.0,1M,pooled_trailing
22,0.08099999999999999,0.919,12.854874346178228,21,131,6.238095238095238,0.06562682999438688,0.06513717150151925,0.0,1M,pooled_trailing
23,0.08149999999999999,0.9185,12.12683976613449,21,131,6.238095238095238,0.0685286251443592,0.0681599743689414,0.0,1M,pooled_trailing
24,0.08199999999999999,0.918,11.398805186091078,21,131,6.238095238095238,0.07290550570450804,0.07119198295959883,0.0,1M,pooled_trailing
25,0.08249999999999999,0.9175,10.670770606047341,21,131,6.238095238095238,0.0937219943184004,0.08580081168619295,0.0,1M,pooled_trailing
26,0.08299999999999999,0.917,9.942736026003766,22,131,5.954545454545454,0.1644375936346357,0.13251108555440919,0.0,1M,pooled_trailing
27,0.08349999999999999,0.9165,9.707837530530693,22,131,5.954545454545454,0.3747331959670141,0.2715748256716296,0.0,1M,pooled_trailing
28,0.08399999999999999,0.916,9.476868406249539,22,131,5.954545454545454,0.3838661494281493,0.31014102924316644,0.0,1M,pooled_trailing
29,0.08449999999999999,0.9155,9.24589928196828,22,131,5.954545454545454,0.39345539820436615,0.31788857220717903,1.0,1M,pooled_trailing
30,0.07999999999999999,0.92,14.31094350626554,21,131,6.238095238095238,2.106739229537342,1.1804698643836455,0.0,1M,pooled_trailing
31,0.08049999999999999,0.9195,13.582908926221801,21,131,6.238095238095238,2.219659003833769,1.434251669956581,0.0,1M,pooled_trailing
32,0.08099999999999999,0.919,12.854874346178228,21,131,6.238095238095238,2.3453691793810307,1.5154803762118134,0.0,1M,pooled_trailing
