date,value
1983-02-01,8.113684210526316
1983-03-01,8.348695652173914
1983-04-01,8.212
1983-05-01,8.191904761904762
1983-06-01,8.792272727272728
1983-07-01,9.0805
1983-08-01,9.343478260869565
1983-09-01,8.995238095238095
1983-10-01,8.635
1983-11-01,8.76421052631579
1983-12-01,8.996190476190476
1984-01-01,8.903333333333332
1984-02-01,9.087894736842106
1984-03-01,9.516818181818183
1984-04-01,9.693999999999999
1984-05-01,9.834090909090909
1984-06-01,9.868095238095238
1984-07-01,10.115238095238094
1984-08-01,10.466521739130433
1984-09-01,10.368947368421052
1984-10-01,9.736363636363636
1984-11-01,8.608421052631579
1984-12-01,8.056999999999999
1985-01-01,7.756190476190476
1985-02-01,8.265
1985-03-01,8.516666666666666
1985-04-01,7.946666666666666
