date,OECD_CLI_index
1975-11-01,99.5324405139201
1975-12-01,99.9363086425029
1976-01-01,100.322704728373
1976-02-01,100.648567222021
1976-03-01,100.880782130858
1976-04-01,101.02010785608
1976-05-01,101.079164034251
1976-06-01,101.086252152131
1976-07-01,101.065842159589
1976-08-01,101.034888199224
1976-09-01,101.022408058218
1976-10-01,101.052211902893
1976-11-01,101.148264523131
1976-12-01,101.30383796982
1977-01-01,101.488041907012
1977-02-01,101.67680771508002
1977-03-01,101.842571889603
1977-04-01,101.952844999256
1977-05-01,102.000858464778
1977-06-01,101.98811587899598
1977-07-01,101.9280778401
1977-08-01,101.844054376372
1977-09-01,101.765438285494
1977-10-01,101.709797085571
1977-11-01,101.678206625914
1977-12-01,101.67297385296
1978-01-01,101.696879621872
1978-02-01,101.74342392292
1978-03-01,101.842489880642
1978-04-01,101.981333321402
1978-05-01,102.123670931159
1978-06-01,102.230764766745
1978-07-01,102.279256013421
1978-08-01,102.258997523209
1978-09-01,102.170626085849
1978-10-01,102.019947803708
1978-11-01,101.82715999591
1978-12-01,101.627673451791
1979-01-01,101.45074630391198
1979-02-01,101.278505266164
1979-03-01,101.079944959884
1979-04-01,100.841219073552
1979-05-01,100.580501664802
1979-06-01,100.309160253012
1979-07-01,100.040203903675
1979-08-01,99.78523200887209
1979-09-01,99.5349946083589
1979-10-01,99.2697013268336
1979-11-01,98.9870425828876
1979-12-01,98.69409392359958
1980-01-01,98.3926872054564
1980-02-01,98.0662587480077
1980-03-01,97.7556751069982
1980-04-01,97.5843519447126
1980-05-01,97.6449394886434
1980-06-01,97.9732414139159
1980-07-01,98.4984731737996
1980-08-01,99.0932778766362
1980-09-01,99.62031806211
1980-10-01,99.9784829586818
1980-11-01,100.13728250214
1980-12-01,100.133096930243
1981-01-01,100.027177778895
1981-02-01,99.8860804039617
1981-03-01,99.74358364254248
1981-04-01,99.572780663152
1981-05-01,99.34480949037332
1981-06-01,99.0747397088129
1981-07-01,98.79487668147672
1981-08-01,98.5077199425475
1981-09-01,98.1895702303051
1981-10-01,97.85135359934272
1981-11-01,97.5135251286302
1981-12-01,97.2024192712703
1982-01-01,96.9115484878648
1982-02-01,96.6352925442348
1982-03-01,96.4104916752017
1982-04-01,96.2680925618074
1982-05-01,96.215330284163
1982-06-01,96.2547711183236
1982-07-01,96.37325174958929
1982-08-01,96.5574183022648
1982-09-01,96.8125561190038
1982-10-01,97.1343546252044
1982-11-01,97.5355677008025
1982-12-01,98.0254862762056
1983-01-01,98.5912344931523
1983-02-01,99.2057477868767
