date,value
1983-04-01,8.2925
1983-05-01,8.225238095238096
1983-06-01,8.871818181818183
1983-07-01,9.338
1983-08-01,9.599565217391303
1983-09-01,9.272857142857143
1983-10-01,8.977
1983-11-01,9.082105263157894
1983-12-01,9.238571428571428
1984-01-01,9.072380952380954
1984-02-01,9.200526315789475
1984-03-01,9.671818181818182
1984-04-01,9.947
1984-05-01,10.573636363636364
1984-06-01,10.927142857142858
1984-07-01,10.889047619047618
1984-08-01,10.711304347826088
1984-09-01,10.512631578947369
1984-10-01,9.92909090909091
1984-11-01,9.00842105263158
1984-12-01,8.595
1985-01-01,8.327142857142857
1985-02-01,8.563333333333333
1985-03-01,9.058095238095238
1985-04-01,8.443809523809524
1985-05-01,7.8536363636363635
1985-06-01,7.2705
1985-07-01,7.3127272727272725
