model,draw,rare_count,supp,IQR,ent,Q_C,cov,width
gradboost,146,30,14.91204,5.21946,2.19075,11.81479,90.411,22.1617
gradboost,147,26,12.18429,5.13685,2.09838,10.01167,89.726,19.7462
gradboost,148,28,15.57511,4.95816,2.17643,11.42598,90.411,22.2199
gradboost,149,28,15.80773,5.65286,2.21879,12.26463,91.7808,23.0022
gradboost,150,28,15.78428,5.21468,2.18863,11.11662,90.411,21.6304
gradboost,151,20,14.10444,4.62688,2.12481,10.62045,90.411,20.521
gradboost,152,22,13.54846,4.76594,2.11429,9.85211,89.726,19.1121
gradboost,153,29,15.66809,5.19587,2.20424,11.3077,90.411,21.3377
gradboost,154,28,14.80087,5.26038,2.17179,10.73873,90.411,20.762
gradboost,155,30,14.40433,4.9945,2.15965,11.11568,89.726,20.9886
gradboost,156,28,13.58707,5.08365,2.12948,10.19826,89.726,20.0689
gradboost,157,26,14.49457,5.14958,2.14775,10.30265,89.726,20.2774
gradboost,158,21,14.04261,4.96063,2.13621,10.62045,90.411,20.7806
gradboost,159,29,14.8657,5.25522,2.16133,10.98194,90.411,21.2061
gradboost,160,28,14.47279,4.9315,2.1655,10.60475,90.411,20.6523
gradboost,161,30,14.55365,5.27819,2.15225,10.73873,90.411,20.6863
gradboost,162,19,13.61716,5.22159,2.15965,10.9859,90.411,21.3396
gradboost,163,24,16.20424,5.50509,2.23621,12.14138,91.0959,23.1185
gradboost,164,30,14.52937,5.10797,2.1545,10.9859,90.411,21.1847
gradboost,165,24,13.80694,4.66513,2.11765,10.19826,89.726,20.2818
gradboost,166,23,13.61694,4.90646,2.14517,10.17743,89.726,20.1841
gradboost,167,30,13.791,4.66254,2.20735,10.55295,89.726,20.8625
gradboost,168,28,12.34621,5.14111,2.12902,10.34673,89.726,20.4652
gradboost,169,27,14.39272,5.3176,2.16328,10.60263,90.411,20.6083
gradboost,170,21,13.65747,4.79582,2.08004,9.5908,89.726,19.0179
gradboost,171,29,14.01225,5.14111,2.13826,10.5163,90.411,20.4894
gradboost,172,32,14.03217,5.3606,2.20027,11.42598,90.411,21.9048
gradboost,173,30,15.68952,5.22803,2.12991,10.98194,90.411,21.0859
gradboost,174,24,14.38672,5.01257,2.1621,10.5163,89.726,20.4298
gradboost,175,24,14.60563,5.04213,2.24097,11.37985,90.411,22.1094
gradboost,176,24,14.52817,5.11885,2.14338,11.81479,91.0959,22.4995
gradboost,177,23,13.66012,4.8029,2.11649,10.34673,89.726,20.4431
gradboost,178,29,16.35307,5.13504,2.16611,11.11662,90.411,21.2184
gradboost,179,28,14.75062,5.24296,2.17293,11.11568,90.411,21.3117
gradboost,180,29,15.55728,5.34022,2.20289,11.79756,90.411,22.2987
gradboost,181,29,15.55047,5.36202,2.20549,11.46619,90.411,22.2694
gradboost,182,24,14.11407,5.12824,2.14424,10.9859,90.411,21.3749
gradboost,183,22,13.76028,5.27136,2.12442,10.46263,89.726,20.4506
gradboost,184,25,14.58182,4.45357,2.11212,10.43939,89.726,20.5537
gradboost,185,31,14.39272,5.5779,2.27172,11.47327,90.411,22.4061
gradboost,186,23,13.778,5.05159,2.15259,10.06482,89.726,20.0612
gradboost,187,29,13.8541,4.85922,2.15092,10.73873,90.411,20.821
gradboost,188,27,13.71287,4.98531,2.1348,10.73873,90.411,20.9293
gradboost,189,24,15.48755,4.9716,2.17206,11.11568,90.411,21.0215
gradboost,190,24,12.91205,4.81538,2.07509,9.55118,89.0411,18.9215
gradboost,191,28,14.44758,5.37289,2.2062,11.42598,90.411,22.0231
gradboost,192,25,14.91794,5.29722,2.17205,11.11662,90.411,21.4402
gradboost,193,29,13.87908,5.32272,2.16242,10.73782,90.411,20.7363
gradboost,194,25,14.34539,5.30394,2.17488,10.73782,90.411,20.8233
gradboost,195,33,16.12713,5.64917,2.23854,12.64686,92.4658,23.9762
gradboost,196,26,14.91766,5.24792,2.1281,10.9356,90.411,20.8705
gradboost,197,31,14.7375,5.31231,2.16568,11.47327,90.411,21.9217
gradboost,198,24,14.41171,5.20537,2.1615,10.62045,89.726,20.7387
gradboost,199,23,13.03543,5.25606,2.52622,10.19826,89.726,20.1055
