date,share_price,OECD_CLI_index,CSI_index,gdp_per_capita_residual,gdp_per_capita_rollstd12,PPI_diff1,gdp_per_capita_diff1,gdp_per_capita_diff3,gdp_per_capita_pct_change1,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,unemployment_rate,PPI,gdp_per_capita,CSI_index_trend,OECD_CLI_index_trend,PPI_CPI_diff,3_months_rate_rollmin12,INDPRO_rollstd12,PPI_rollstd12,3_months_rate_diff3,OECD_CLI_index_diff1,CSI_index_rollmin12,OECD_CLI_index_diff3,OECD_CLI_index_residual,share_price_trend,CSI_index_lag6,unemployment_rate_rollstd6,PPI_rollstd6,OECD_CLI_index_rollmax12,CSI_index_rollmax6,INDPRO_diff3,unemployment_rate_diff3,CSI_index_rollmin6,OECD_CLI_index_pct_change1,10_year_rate_residual,CPI_anomaly,unemployment_rate_anomaly,share_price_anomaly,3_months_rate_anomaly,6_months_rate_anomaly,10_year_rate_anomaly,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability
2011-09-01,66.55733,99.1358292761573,59.5,-318.9966452897643,111.35783842798907,1.6999999999999886,0.0,-128.0,0.0,0.09857142857142856,0.013809523809523811,0.043333333333333335,226.597,95.1961,1.98,9.0,323.3,54482.0,67.77385900425583,99.64401517645449,96.703,0.024347826086956525,0.7745037748578472,20.588118079623843,-0.023463203463203464,-0.1234487610631021,55.8,-0.6470736235069978,-0.4349344909698658,73.03661968692187,67.5,0.05163977794930112,4.3775563959942785,100.362478799572,74.3,1.0241000000000042,-0.09999999999999964,55.8,-0.001243699969455836,-0.41886561896961094,0,0,1,0,0,0,0.06,0.02,0.0,0.32
2011-10-01,67.9489,99.1566992259131,60.8,41.034123892037314,107.61674420785417,0.19999999999998863,497.0,497.0,0.009122278917807813,0.1075,0.019,0.05450000000000001,226.75,95.8568,2.15,8.8,323.5,54979.0,68.10684619255446,99.6163493624452,96.75,0.013809523809523811,0.8431382317716836,19.61652635051715,-0.0185,0.020869949755805806,55.8,-0.34051476297230465,-0.3750043253781854,72.70227889486593,69.8,0.05163977794930112,4.542869871213235,100.362478799572,74.3,1.2208000000000112,-0.1999999999999993,55.8,0.0002105187388674601,-0.1267970470020079,0,0,0,0,0,0,0.02,0.16,0.0,0.08
2011-11-01,68.64421,99.3020612514123,63.7,0.08079666377307149,175.2029126572702,-1.1000000000000227,0.0,497.0,0.0,0.10500000000000001,0.014000000000000002,0.0465,227.169,95.8485,2.01,8.6,322.4,54979.0,68.57612110227288,99.59954121254557,95.23099999999997,0.013809523809523811,0.9231891990232631,17.760637017648172,-0.010347826086956523,0.14536202549919608,55.8,0.04278321419189979,-0.22716325366089052,72.38528427429017,74.3,0.0983192080249471,3.7464650005184437,100.362478799572,74.3,0.573599999999999,-0.40000000000000036,55.8,0.0014659829001368863,-0.1552517264676525,0,0,0,0,0,0,0.16,0.0,0.14,0.16
2011-12-01,69.36818,99.520159806758,69.9,-39.373647038933996,217.40236400810772,-0.19999999999998863,0.0,497.0,0.0,0.10809523809523809,0.01142857142857143,0.04857142857142857,227.223,96.3571,1.98,8.5,322.2,54979.0,69.19780811544112,99.59495341729692,94.97699999999998,0.013809523809523811,0.9297047287433321,14.449840095579113,-0.002380952380952381,0.21809855534570488,55.8,0.38433053060070677,-0.04022773032744453,72.1593647991544,71.5,0.18348478592693312,1.88962077327054,100.362478799572,71.5,1.1610000000000014,-0.5,55.8,0.002196314483276618,-0.1120817927328468,0,0,0,0,0,0,0.0,0.0,0.32,0.18
2012-01-01,72.31305,99.7379176761695,75.0,253.5459064483657,247.55715592983145,3.400000000000034,363.0,363.0,0.006602520962549319,0.10900000000000001,0.0345,0.0655,227.842,96.9318,1.97,8.3,325.6,55342.0,70.007329361836,99.60306127939478,97.75800000000001,0.01142857142857143,1.0502112007991697,9.948625609353178,0.015500000000000003,0.21775786941149988,55.8,0.5812184502564008,0.1254822592973568,72.10234923818281,63.7,0.2228601953392574,0.7626707459809461,100.362478799572,69.9,1.0749999999999886,-0.5,55.8,0.0021880779716825227,-0.059104790656186124,0,0,0,0,0,0,0.0,0.14,0.08,0.14
2012-02-01,75.6142,99.8905407911143,75.3,221.44241927694384,311.60973795019635,5.599999999999966,0.0,363.0,0.0,0.15350000000000003,0.092,0.124,228.329,97.2435,1.97,8.3,331.2,55342.0,71.06793971358798,99.62287516063427,102.87099999999998,0.01142857142857143,1.1698218725757787,5.044191078487154,0.078,0.1526231149448023,55.8,0.5884795397020071,0.2188979885278286,72.26893934957327,55.8,0.28284271247459175,1.4142135624115206,100.362478799572,75.0,1.394999999999996,-0.29999999999999893,55.8,0.0015302416423044196,-0.046364956204880015,0,0,0,0,0,0,0.14,0.32,0.16,0.16
2012-03-01,76.48755,99.9508278755349,76.2,197.25293367246195,343.1251648966891,-2.1999999999999886,0.0,363.0,0.0,0.18227272727272725,0.08409090909090909,0.14227272727272727,228.807,96.74,2.17,8.2,329.0,55342.0,72.35246805089838,99.65168437213795,100.19300000000001,0.01142857142857143,1.1944678102372641,3.889642423378216,0.07266233766233766,0.06028708442059383,55.8,0.430668068776896,0.22412752742781095,72.65914763995353,59.5,0.27868739954768396,3.405877273201344,100.35776895342,75.3,0.38289999999999225,-0.3000000000000007,59.5,0.0006035314649728285,0.18790658621570966,0,0,0,0,0,0,0.32,0.08,0.18,0.06
2012-04-01,75.34689,99.9230015922522,76.4,106.30382176607964,350.98047730897605,0.5,148.0,148.0,0.0026742799320589317,0.17761904761904762,0.0838095238095238,0.13904761904761903,229.187,97.4359,2.05,8.2,329.5,55490.0,73.67744741956206,99.68553643031028,100.31299999999999,0.01142857142857143,1.1999205632781775,3.983564720035704,0.0493095238095238,-0.027826283282692543,55.8,0.18508391608270358,0.15503951630429924,73.22938724530657,60.8,0.22583179581268648,3.717929531353418,100.249984058942,76.2,0.5041000000000082,-0.10000000000000142,60.8,-0.0002783997278876793,0.1104223070136574,0,0,0,0,0,0,0.08,0.16,0.14,0.0
2012-05-01,72.17181,99.8308690209989,79.3,103.62403139896196,385.74684546391444,-3.1999999999999886,0.0,148.0,0.0,0.18681818181818183,0.08954545454545454,0.14545454545454548,228.713,97.6609,1.8,8.2,326.3,55490.0,74.82814202124347,99.72042653667957,97.58700000000002,0.01142857142857143,1.1886504592344993,3.7013818058466486,-0.0024545454545454592,-0.09213257125330188,55.8,-0.05967177011540059,0.044417581375640225,73.91252696334118,63.7,0.16431676725149594,3.829229687562542,100.050729249653,76.4,0.41740000000000066,-0.10000000000000142,63.7,-0.0009220356653141248,-0.0694986166667384,0,0,0,0,0,0,0.16,0.18,0.16,0.02
2012-06-01,70.76199,99.7150564508138,73.2,109.1057991330672,403.33686762475884,-3.400000000000034,0.0,148.0,0.0,0.18333333333333335,0.09142857142857143,0.14809523809523809,228.524,97.6663,1.62,8.2,322.9,55490.0,75.68664774505628,99.75367462656878,94.37599999999998,0.01142857142857143,1.1351796697648517,3.2087475135925074,0.007337662337662337,-0.11581257018509916,55.8,-0.23577142472109358,-0.06484497726538052,74.63329405606106,69.9,0.11690451944492422,3.2508460437416256,99.9508278755349,79.3,0.9263000000000119,0.0,69.9,-0.0011600877696530398,-0.2840817083625773,0,0,0,0,0,0,0.18,0.14,0.06,0.06
