date,cases_lag7,pos_lag7,cases_lag14,pos_lag14,cases_lag21,pos_lag21,rt_lag7,icu_lag7,hosp_lag7,strin_lag7,vax_lag7,deaths_lag14,deaths_roll28,target
2021-01-08,276.33,0.14,359.11,0.1,356.0,0.11,1.2,47.03,273.2,76.85,0.05,7.45,0.08,7.27
2021-01-08,473.4,0.03,592.69,0.03,441.86,0.03,0.85,21.93,150.45,51.85,0.09,2.03,1.9157142857142857,4.5
2021-01-08,386.46,0.16,477.54,0.12,485.06,0.13,0.99,48.17,289.23,60.19,0.07,10.24,0.0,9.33
2021-01-08,186.44,0.05,206.51,0.03,172.63,0.05,1.09,38.47,357.79,63.89,0.01,7.52,0.9557142857142856,6.48
2021-01-08,639.42,0.22,608.67,0.14,449.44,0.15,1.22,90.62,540.21,73.15,0.12,10.43,10.038214285714286,12.77
2021-01-08,241.29,0.12,269.11,0.1,277.44,0.12,1.09,43.24,429.81,82.41,0.09,10.57,2.8625000000000003,8.05
2021-01-08,568.91,0.15,634.92,0.12,614.24,0.12,1.08,81.21,357.84,71.76,1.72,7.89,0.0,8.22
2021-01-09,241.29,0.12,269.11,0.1,277.44,0.12,1.06,43.52,432.22,82.41,0.15,10.57,2.755,8.05
2021-01-09,615.2,0.3,642.75,0.27,706.1,0.28,1.08,86.8,524.1,81.48,0.57,20.13,0.0,16.75
2021-01-09,153.74,0.07,214.79,0.07,196.3,0.08,0.95,41.27,182.05,60.19,0.01,8.04,8.252500000000001,5.87
2021-01-09,639.42,0.22,608.67,0.14,449.44,0.15,1.2,91.58,569.28,73.15,0.13,10.43,9.972499999999998,12.77
2021-01-09,409.32,0.06,271.9,0.04,188.29,0.04,1.37,23.18,164.78,82.41,12.02,1.62,0.7603571428571428,3.0
2021-01-09,186.44,0.05,206.51,0.03,172.63,0.04,1.09,38.81,360.67,63.89,0.01,7.52,1.0089285714285714,6.48
2021-01-09,161.54,0.07,171.13,0.05,170.27,0.05,1.05,16.59,122.92,72.69,0.29,2.87,2.6774999999999998,3.3
2021-01-09,568.91,0.15,634.92,0.12,614.24,0.12,1.09,81.63,362.61,71.76,1.79,7.89,0.0,8.22
2021-01-09,386.46,0.17,477.54,0.12,485.06,0.13,1.0,48.17,293.81,60.19,0.07,10.24,0.0,9.33
2021-01-10,182.88,0.07,161.54,0.05,171.13,0.05,1.05,16.62,126.05,72.69,0.3,2.9,2.717142857142857,3.52
2021-01-10,712.52,0.3,615.2,0.27,642.75,0.28,1.11,87.74,553.34,81.48,0.59,17.36,0.0,13.58
2021-01-10,520.46,0.12,422.5,0.1,479.01,0.1,1.08,44.12,432.18,61.11,0.53,5.69,0.0,15.69
2021-01-10,392.46,0.13,394.68,0.11,391.08,0.1,1.04,30.16,301.64,55.56,0.19,3.39,5.091785714285714,3.6
2021-01-10,944.17,0.22,639.42,0.15,608.67,0.14,1.19,95.96,598.82,73.15,0.14,10.19,10.065357142857142,15.89
2021-01-10,197.69,0.05,186.44,0.03,206.51,0.04,1.1,39.3,365.42,63.89,0.01,6.93,1.062142857142857,7.62
2021-01-10,575.04,0.06,409.32,0.05,271.9,0.04,1.35,26.99,184.15,82.41,13.6,2.06,0.7696428571428572,3.83
2021-01-10,378.4,0.17,386.46,0.13,477.54,0.13,1.01,48.97,304.45,60.19,0.07,9.75,0.0,6.95
2021-01-10,569.08,0.2,513.24,0.12,619.55,0.15,1.38,33.65,251.3,69.44,0.01,8.69,0.0,8.65
2021-01-10,129.91,0.07,153.74,0.07,214.79,0.08,0.96,40.15,187.46,60.19,0.01,7.34,8.123214285714285,4.75
2021-01-10,244.45,0.12,241.29,0.1,269.11,0.12,1.06,43.75,434.6,82.41,0.21,7.62,2.6867857142857146,8.17
2021-01-10,577.64,0.15,568.91,0.12,634.92,0.12,1.09,82.79,371.26,71.76,1.83,7.67,0.0,8.99
2021-01-11,712.52,0.31,615.2,0.28,642.75,0.28,1.14,90.1,570.33,81.48,0.65,17.36,0.0,13.58
2021-01-11,129.91,0.07,153.74,0.07,214.79,0.08,0.97,39.81,190.98,60.19,0.01,7.34,7.993928571428571,4.75
2021-01-11,575.04,0.06,409.32,0.05,271.9,0.04,1.33,27.52,191.24,82.41,15.21,2.06,0.7789285714285715,3.83
2021-01-11,577.64,0.15,568.91,0.13,634.92,0.12,1.09,83.56,376.68,71.76,2.02,7.67,0.0,8.99
2021-01-11,182.88,0.08,161.54,0.05,171.13,0.05,1.05,17.4,128.83,72.69,0.36,2.9,2.7567857142857144,3.52
2021-01-11,197.69,0.05,186.44,0.03,206.51,0.04,1.12,39.18,368.1,63.89,0.01,6.93,1.1153571428571427,7.62
2021-01-11,378.4,0.17,386.46,0.13,477.54,0.12,1.02,49.65,308.56,60.19,0.11,9.75,0.0,6.95
2021-01-11,244.45,0.12,241.29,0.1,269.11,0.12,1.07,43.68,438.64,82.41,0.33,7.62,2.6185714285714283,8.17
2021-01-11,944.17,0.22,639.42,0.16,608.67,0.14,1.18,103.96,688.2,73.15,0.17,10.19,10.158214285714285,15.89
2021-01-11,295.55,0.14,197.65,0.1,204.28,0.08,1.41,46.68,244.41,78.7,0.17,3.5,0.0575,4.71
2021-01-12,295.55,0.15,197.65,0.11,204.28,0.08,1.44,46.55,244.14,78.7,0.29,3.5,0.0575,4.71
2021-01-12,197.69,0.06,186.44,0.04,206.51,0.03,1.14,38.58,366.76,63.89,0.02,6.93,1.1685714285714286,7.62
2021-01-12,378.4,0.16,386.46,0.14,477.54,0.12,1.01,50.68,307.65,60.19,0.19,9.75,0.0,6.95
2021-01-12,129.91,0.06,153.74,0.07,214.79,0.07,0.99,36.89,182.74,60.19,0.02,7.34,7.864642857142857,4.75
2021-01-12,244.45,0.13,241.29,0.1,269.11,0.12,1.08,43.52,439.79,82.41,0.47,7.62,2.5503571428571425,8.17
2021-01-12,577.64,0.15,568.91,0.13,634.92,0.12,1.09,84.33,380.91,71.76,2.24,7.67,0.0,8.99
2021-01-12,182.88,0.07,161.54,0.06,171.13,0.05,1.04,17.48,129.53,72.69,0.41,2.9,2.7964285714285713,3.52
2021-01-12,575.04,0.06,409.32,0.05,271.9,0.04,1.31,28.89,197.48,82.41,16.54,2.06,0.7882142857142858,3.83
2021-01-12,944.17,0.21,639.42,0.18,608.67,0.14,1.18,106.25,706.02,73.15,0.21,10.19,10.251071428571427,15.89
2021-01-12,712.52,0.32,615.2,0.28,642.75,0.27,1.17,86.8,562.78,81.48,0.77,17.36,0.0,13.58
2021-01-13,242.94,0.02,281.86,0.03,573.56,0.03,0.87,40.15,160.59,59.26,0.21,4.16,0.0025,1.31
2021-01-13,197.69,0.06,186.44,0.04,206.51,0.03,1.15,38.44,364.36,63.89,0.04,6.93,1.221785714285714,7.62
2021-01-13,378.4,0.16,386.46,0.15,477.54,0.12,1.0,50.11,298.38,60.19,0.26,9.75,0.0,6.95
