date,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,seasonally_adjusted_CPI,CPI_trend,seasonally_adjusted_unemployment_rate,INDPRO_trend,seasonally_adjusted_INDPRO,PPI_trend,recession_probability,unemployment_rate_trend,seasonally_adjusted_PPI,Year,3_month_recession_probability,6_month_recession_probability,1_month_recession_probability,anomaly_INDPRO,Month_Number,anomaly_3_months_rate,Quarter_Number,anomaly_6_months_rate,anomaly_1_year_rate,anomaly_10_year_rate,anomaly_unemployment_rate,anomaly_PPI,anomaly_CPI,anomaly_share_price,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability
1968-04-01,5.4725,5.377000000000001,5.4895000000000005,34.4,36.5477,5.64,1.8297390618473128,3.5,27.3,100.739582986566,97.2,25652.0,34.38528885718335,34.4702858379885,3.5780212523347266,36.60409250180451,36.38469258019356,27.54238870253919,0.02,3.6558648307770647,27.326442218767124,1968,0.0,0.0,0.0,0,4,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.02,0.0,0.0,0.0
1968-05-01,5.842727272727273,5.655909090909091,5.834090909090909,34.5,36.9577,5.87,1.8660789599107013,3.5,27.7,100.741587322869,92.4,25695.0,34.56134196244958,34.59908410782476,3.5697464782381725,36.77014398099343,36.9386605111865,27.605807680381396,0.0,3.6281053182089607,27.58360968446128,1968,0.14,0.0,0.0,0,5,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.0,0.14,0.0
1968-06-01,5.6770000000000005,5.5235,5.638,34.7,37.0934,5.72,1.904963151627816,3.7,27.8,100.766466224131,92.4,25738.0,34.69580020496687,34.73046744411068,3.648509351433543,36.934937892848055,37.27554533530616,27.67265414821796,0.0,3.6013679660369777,27.70736281360143,1968,0.0,0.06,0.0,0,6,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.0,0.0,0.06
1968-07-01,5.3940909090909095,5.313181818181818,5.407272727272727,34.9,37.0366,5.5,1.90016652370948,3.7,27.9,100.828044993566,92.4,25781.0,34.88197654390846,34.86576448270864,3.6779966268483215,37.099257143107394,37.37129224147069,27.74360026734185,0.0,3.576415815695717,27.77859479863349,1968,0.0,0.04,0.14,0,7,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.14,0.0,0.04
1968-08-01,5.149090909090909,5.086818181818182,5.231363636363636,35.0,37.1399,5.42,1.8701243482782672,3.5,27.9,100.937993934745,92.4,25791.666666666668,35.020264750677136,35.00594014130033,3.512689565924133,37.26243248244298,37.234198060728616,27.817948028264944,0.14,3.5531785840404444,27.84551433129806,1968,0.0,0.0,0.0,0,8,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.14,0.0,0.0,0.0
1968-09-01,5.182,5.194,5.254,35.1,37.2806,5.46,1.908471771911635,3.4,28.0,101.09627493651,92.4,25802.33333333333,35.13241578231285,35.15121196645211,3.4488985310610247,37.42426661203539,37.5463509105572,27.894593511051937,0.0,3.5313506978207103,27.946396831548125,1968,0.06,0.02,0.0,0,9,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.0,0.06,0.02
1968-10-01,5.328260869565217,5.351304347826087,5.410434782608696,35.3,37.3546,5.58,1.94059516329599,3.4,28.0,101.253891611791,92.4,25813.0,35.31520277525296,35.30129385605222,3.23122893817567,37.583528804585406,37.5964190078467,27.97305987786218,0.0,3.5110930182620605,27.94554790170957,1968,0.04,0.18,0.0,0,10,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.0,0.04,0.18
1968-11-01,5.511666666666667,5.451666666666666,5.595,35.4,37.8378,5.7,1.9638772803486129,3.4,28.0,101.352918948343,91.7,25929.33333333333,35.388187566571986,35.45532205004142,3.338714898666826,37.73734297890347,37.65715352690943,28.0530946798821,0.0,3.493190974476915,28.03974419610353,1968,0.0,0.1,0.06,0,11,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.06,0.0,0.1
1968-12-01,5.972857142857142,5.956190476190476,6.055714285714286,35.6,37.9573,6.03,1.98183535695904,3.4,28.0,101.372923392385,91.7,26045.666666666668,35.57757843044992,35.6122873506267,3.392848906921676,37.88266594859299,37.84606995365336,28.135020888431576,0.06,3.4793788619199253,28.11911499123051,1968,0.02,0.08,0.04,0,12,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.06,0.04,0.02,0.08
1969-01-01,6.069090909090909,6.140000000000001,6.282272727272727,35.7,38.1869,6.04,1.9300399470485872,3.4,28.0,101.31872133176,98.2,26162.0,35.69678870036631,35.771397634869224,3.4675819980092,38.01906677273116,38.05602458014609,28.21989741527103,0.04,3.4702124893958284,28.14196484323481,1969,0.18,0.14,0.0,0,1,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.04,0.0,0.18,0.14
