date,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,seasonally_adjusted_unemployment_rate,CPI_trend,CPI_sumsq_acf_diff1,seasonally_adjusted_CPI,INDPRO_trend,seasonally_adjusted_INDPRO,INDPRO_acf1_original,CPI_sumsq_acf_original,INDPRO_sumsq_acf_original,CPI_acf1_original,recession_probability,PPI_trend,1_year_rate_acf1_diff1,3_months_rate_acf1_original,gdp_per_capita_acf1_original,share_price_acf1_original,seasonally_adjusted_PPI,6_months_rate_sumsq_acf_diff1,gdp_per_capita_sumsq_acf_original,Year,share_price_sumsq_acf_original,CPI_acf1_diff2,3_months_rate_sumsq_acf_original,CPI_acf1_diff1,6_months_rate_sumsq_acf_original,6_months_rate_acf1_original,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,3_months_rate_acf1_diff1,1_year_rate_sumsq_acf_original,1_year_rate_acf1_original,unemployment_rate_trend,INDPRO_acf1_diff2,3_month_recession_probability,OECD_CLI_index_sumsq_acf_original,1_month_recession_probability,6_month_recession_probability
2019-02-01,2.4694736842105263,2.3884210526315792,2.4426315789473687,253.319,102.8251,2.68,6.32232726250732,3.8,352.5,99.5432722322208,93.8,62087.66666666666,3.734169348484888,254.07106304517805,0.2434746997598646,252.78841179653472,103.073566539374,103.01717164679098,0.9962124996056434,9.535995007261258,9.537344729390435,0.995776441630751,1.1,343.4333608610573,0.3502149524914804,0.990467805843572,0.995515390202648,0.996174665698433,348.31113693994536,0.2474988292705559,9.502894156316202,2019,9.56295469566366,-0.1632873828655151,8.727320280078539,0.4578858843691217,8.83430908210897,0.991493061857184,0.9935049249666492,9.155699910259967,0.3338130536658015,8.89624471159098,0.9916327165528828,3.773687390910447,-0.5006976757789913,0.42,5.228652881485795,0.68,0.16
2019-03-01,2.413333333333333,2.4023809523809527,2.435714285714285,254.277,102.8361,2.57,6.337801185507259,3.8,351.1,99.4090306910869,98.4,62236.333333333336,3.775179935346133,254.4505764395037,0.2431725367203041,254.53586249920028,102.96342483479228,103.14139889869416,0.9962231431296672,9.536428192588057,9.540120954857572,0.9957582680291353,0.68,346.2890280199238,0.3502199429922912,0.9904813647133204,0.995501470257678,0.9961664693068224,346.8764835145296,0.2474987751971632,9.502820954846602,2019,9.564090222238766,-0.161646423074573,8.729940170992382,0.4585774371146742,8.836391473794075,0.991499471085458,0.9934514359548658,9.153852556886129,0.3338146231224728,8.89782482994494,0.9916201190469914,3.762419740954313,-0.4996382870772166,0.28,5.2250700794976295,0.7,1.0
2019-04-01,2.344761904761905,2.382857142857143,2.392857142857143,255.233,102.2748,2.53,6.37746346222671,3.7,348.4,99.2858595409883,97.2,62385.0,3.726292634354769,254.8330538891337,0.2444585848432844,254.80069948045264,102.83088593436436,102.51915506593996,0.996288711231658,9.536407431092652,9.543937384104066,0.9957403822932508,0.7,346.07109335357217,0.3502416256511924,0.9904836690568768,0.9954877714531172,0.996121305502554,342.1689573575534,0.2474957244598526,9.502434454472953,2019,9.564066041413188,-0.1616522299523344,8.732117249462727,0.4603365605504621,8.837954910492027,0.9914931527859064,0.9934471424812952,9.152050525607162,0.3338117771153666,8.898652802816118,0.9916015166677326,3.7524626790051294,-0.500318051615529,0.38,5.221187570076082,0.42,1.52
2019-05-01,2.2677272727272726,2.352727272727273,2.354090909090909,255.296,102.4176,2.4,6.343023255826821,3.6,344.1,99.17064797213293,100.0,62597.333333333336,3.6672066209791527,255.2212393045055,0.2425766991735649,255.43342079586373,102.68334593561904,102.69995703049742,0.996285814548662,9.536661781326542,9.547283580016844,0.9957577153917896,0.42,345.190070054877,0.3502736963491006,0.9904824495468496,0.9954583926574304,0.9961886505085236,326.81374180897546,0.2474953959173726,9.501458254388156,2019,9.565141185972855,-0.1605633677760966,8.73382918862508,0.4584255105195857,8.839068627268567,0.991488374531863,0.993378317501356,9.149023686981147,0.3338133942808783,8.898738797272824,0.9915786356449912,3.745886946187346,-0.5010191933745746,0.16,5.217265164083716,0.28,0.4
2019-06-01,1.9435,2.1705,2.108,255.213,102.5425,2.07,6.36510658128107,3.6,340.2,99.0664383205323,98.2,62809.66666666666,3.4630969256506208,255.61697179628345,0.2421067082786039,255.4152843282044,102.52926439191486,102.46959514590029,0.9962846947916874,9.537283289836177,9.550197370775248,0.9957804763003122,0.28,344.26730746701463,0.3501378848461158,0.9904257576977754,0.9954293169787132,0.9961705302115116,346.9218056290533,0.2471697535644933,9.499950839306656,2019,9.56553935283262,-0.1594605140003728,8.73422939913667,0.4587828929776957,8.838378918594614,0.991401166594532,0.9931503082470629,9.141820395775037,0.3337672990713067,8.895709847883689,0.9914186834142132,3.7509806325437416,-0.5010774680592011,1.0,5.213564743138275,0.38,0.54
2019-07-01,1.9077272727272727,2.098636363636364,2.028636363636364,255.802,102.0057,2.06,6.4112613788598125,3.7,338.6,98.98084900473,98.4,63022.0,3.740342691484587,256.02042985902665,0.2411956615577798,256.149300231817,102.3751844857624,102.10611871318422,0.996346061227116,9.537730601882116,9.553725186537484,0.9957770003640084,0.38,343.3218664444712,0.3502438867935953,0.9904097058067172,0.9954005519348031,0.9961156728731544,347.8431695513635,0.2471991291221972,9.498017140181744,2019,9.564545809080665,-0.1596740032842002,8.73408565762802,0.4576434060728832,8.837178596661882,0.9913805357587272,0.9931726986555246,9.13578054443535,0.333851735287761,8.892783126021433,0.9914184151105132,3.771211727361425,-0.5000293661585494,1.52,5.210383919100747,0.16,0.26
2019-08-01,1.729090909090909,1.9495454545454545,1.878636363636364,256.036,102.7814,1.63,6.337815730932571,3.6,340.2,98.9252882079398,89.8,63134.66666666666,3.6945676414208486,256.4256282665247,0.2409137008737108,256.64697285676306,102.22629803098803,102.3727458464768,0.9962818613442888,9.538272657132453,9.5554773682104,0.9957873340048028,0.16,342.3564044913704,0.3501878927353711,0.9903626404824868,0.9953972127903292,0.9962394308580684,341.7997358645189,0.2470355004398171,9.496249505051324,2019,9.56572488836514,-0.1614671559790798,8.73293559950578,0.4573344551785661,8.835006062096474,0.9913290707626242,0.9928423630278972,9.124068500397168,0.3338748273187568,8.888505394586566,0.991335724076172,3.803685835205911,-0.5000578189307846,0.4,5.208059084820352,1.0,0.1
2019-09-01,1.752,1.8945,1.8435,256.43,102.4601,1.7,6.3877133158542,3.5,343.9,98.9260660204373,93.2,63247.333333333336,3.7121546408410135,256.8220284213309,0.2408210364710801,257.0394243626018,102.08626475175252,101.99632787110905,0.9963231661467988,9.5387643609735,9.557568512955134,0.995791434792187,1.0,341.4072858641574,0.3501307774316506,0.9903531958316054,0.9953940050711116,0.9961794884604948,340.7919930994464,0.2470382987970975,9.494700049274408,2019,9.565518551884905,-0.1618982636227075,8.731623885781834,0.4572851272645911,8.832989764167689,0.9913273087126084,0.9929367102118752,9.116165834433762,0.3339267436977706,8.885442585082874,0.9913703602690788,3.84453133332836,-0.503812206853801,0.54,5.207035499115911,1.52,100.0
2019-10-01,1.5677272727272729,1.6468181818181815,1.6245454545454547,257.155,101.5878,1.71,6.381920555750512,3.6,343.2,98.9779717186002,95.5,63360.0,3.793076767564541,257.199459089868,0.2399505680926639,257.16220741108657,101.95658097979914,101.7335945762597,0.9964134428328792,9.539005756361924,9.56084306514635,0.9957828104241938,1.52,340.56000122059936,0.3499526442587994,0.9902593680765096,0.995390927764594,0.9962032195234622,339.86990231939785,0.2467603174708171,9.493368714158995,2019,9.565743187655135,-0.1613221475470619,8.728672568645905,0.456857112533319,8.829587999903227,0.9912408888560522,0.9929801422733204,9.11075640003686,0.3338690119305241,8.881234137064727,0.9912820672500052,3.892488167408096,-0.5004307671726262,0.26,5.207433003708333,0.4,100.0
2019-11-01,1.5273684210526317,1.5421052631578949,1.5489473684210526,257.879,102.1494,1.81,6.44537574110552,3.6,336.2,99.0576327828042,96.8,63045.0,3.6588205243007206,257.5518635154231,0.2403528350123639,257.7337815970334,101.83679324974176,101.82383708430378,0.9963707813327796,9.539040801711185,9.562696119631736,0.9957743717613884,0.4,339.84463701745443,0.3500172390497778,0.9902281375006206,0.995492586676226,0.9961224605501556,339.0652201789524,0.2468151969184312,9.494272121500575,2019,9.564677062134564,-0.1613279492769802,8.725438233996375,0.4575162801255936,8.826268169458388,0.9912212564317924,0.9930940300025408,9.108705018369394,0.3340359783021324,8.87773349222973,0.9912814662306284,3.949053758062128,-0.4993635509548477,0.1,5.208973643629554,0.54,0.08
