date,proj_rank,multiplier,realized_error,pred,actual,confidently_wrong,year
2023-03-01,0.9960629921259843,1.2480314960629921,1.6627766383172982,1.7627766383172983,0.1,False,2023
2023-04-01,0.9960629921259843,1.2480314960629921,2.5267983298838477,2.766798329883848,0.24,False,2023
2023-05-01,0.9960629921259843,1.2480314960629921,2.8917238281287454,2.9517238281287455,0.06,False,2023
2023-06-01,0.9881889763779528,1.2440944881889764,1.7806028723830918,1.9606028723830917,0.18,False,2023
2023-07-01,0.9881889763779528,1.2440944881889764,0.9502946530909303,1.5302946530909303,0.58,False,2023
2023-08-01,0.9921259842519685,1.2460629921259843,1.8891224192314047,1.9291224192314047,0.04,False,2023
2023-09-01,0.9960629921259843,1.2480314960629921,1.259123787976751,1.559123787976751,0.3,False,2023
2023-10-01,1.0,1.25,3.4815749264257327,3.681574926425733,0.2,False,2023
2023-11-01,1.0,1.25,5.632913337209133,5.672913337209133,0.04,False,2023
2023-12-01,0.9921259842519685,1.2460629921259843,3.4149941458293944,3.6349941458293946,0.22,False,2023
2024-01-01,0.9921259842519685,1.2460629921259843,41.59091135213423,42.030911352134225,0.44,False,2024
2024-02-01,0.984251968503937,1.2421259842519685,4.50586008083193,4.76586008083193,0.26,False,2024
2024-03-01,0.984251968503937,1.2421259842519685,2.004599455689501,2.2445994556895013,0.24,False,2024
2024-04-01,0.9881889763779528,1.2440944881889764,1.4393591450435015,1.6393591450435014,0.2,False,2024
2024-05-01,0.9921259842519685,1.2460629921259843,2.0415299337971646,2.2015299337971648,0.16,False,2024
2024-06-01,0.9881889763779528,1.2440944881889764,1.843671386551879,1.923671386551879,0.08,False,2024
2024-07-01,0.9921259842519685,1.2460629921259843,2.3393433722102204,2.59934337221022,0.26,False,2024
2024-08-01,0.9881889763779528,1.2440944881889764,2.364534020981709,2.4645340209817093,0.1,False,2024
2024-09-01,0.984251968503937,1.2421259842519685,3.4272175405100094,3.5672175405100095,0.14,False,2024
2024-10-01,0.9881889763779528,1.2440944881889764,6.906840257881143,7.366840257881143,0.46,False,2024
2024-11-01,0.9921259842519685,1.2460629921259843,20.087295091156907,21.727295091156908,1.64,False,2024
