disag_std_Current,disag_range_Current,disag_maxpair_Current,disag_std_1M,disag_range_1M,disag_maxpair_1M,disag_std_3M,disag_range_3M,disag_maxpair_3M,disag_std_6M,disag_range_6M,disag_maxpair_6M
14.967043374504325,34.310343491278985,34.310343491278985,18.640574903124268,45.62254313910361,45.62254313910361,12.923171888555292,28.39992700152062,28.39992700152062,33.83442869857955,72.2252805347604,72.2252805347604
11.979533501901937,27.42629536660934,27.42629536660934,10.10907849983166,22.70823528907683,22.70823528907683,19.459234731540032,41.64602181008568,41.64602181008568,38.6984297122883,85.55898747119605,85.55898747119605
7.177331684649337,17.00448087039252,17.00448087039252,6.235856650070627,14.46202121322491,14.46202121322491,20.944142405159567,47.30958624785121,47.30958624785121,42.323680412498355,90.5009247589573,90.5009247589573
7.540390945564618,16.59775215245142,16.59775215245142,12.866167269016016,29.00406198981418,29.00406198981418,34.76440928608261,74.34079794157402,74.34079794157402,36.4387566495181,77.36121543488677,77.36121543488677
16.163361609573446,38.69172576995541,38.69172576995541,32.16502942451751,78.78447400050027,78.78447400050027,41.534204777525815,88.60183261692752,88.60183261692752,33.91610447061429,72.00449202959788,72.00449202959788
19.365418741257848,44.90967496714012,44.90967496714012,38.18640878914926,87.25290204301903,87.25290204301903,45.573500619740244,97.29865112224978,97.29865112224978,45.38380213982549,96.29526493577933,96.29526493577933
34.67036533599551,73.87918236575923,73.87918236575923,43.7817704417511,95.17676007437129,95.17676007437129,47.040733883742035,99.79442688298185,99.79442688298185,41.906197553659915,89.33758047532528,89.33758047532528
35.53566729690044,78.00397092467294,78.00397092467294,45.58382466716518,98.17746241655281,98.17746241655281,47.046464864576805,99.80770071954656,99.80770071954656,40.98555617289225,87.68030462536134,87.68030462536134
39.976722554515,85.21764458054606,85.21764458054606,46.58185546305252,98.82011234508293,98.82011234508293,47.027882227646145,99.77425988074964,99.77425988074964,16.777177581817433,40.57871101953893,40.57871101953893
36.942341601486916,78.46102398835956,78.46102398835956,46.548552266702394,98.75601326140992,98.75601326140992,46.787255198427665,99.3467882393167,99.3467882393167,1.871557924468431,4.24809971706207,4.24809971706207
36.991897724726,78.47848613979909,78.47848613979909,46.54212374890588,98.75735217001002,98.75735217001002,43.24317023874978,92.96247938595369,92.96247938595369,1.0377470872824859,2.403563082883663,2.403563082883663
36.96561802788484,78.4347421195273,78.4347421195273,46.383417462926346,98.472649006936,98.472649006936,21.05361675101588,51.020581150960375,51.020581150960375,0.22114886899377909,0.49139363971333555,0.49139363971333555
39.912397121028974,84.84887782281461,84.84887782281461,43.46017474228828,95.2432741608428,95.2432741608428,1.4512027234703202,3.540864662423596,3.540864662423596,0.005868624554914845,0.012956940523527466,0.012956940523527466
