date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country
1983-08-01,-0.04900695029099209,-0.770217281262103,-0.8372953738787263,-0.8460083657910886,2.1197730857055967,2.134151749532437,2.1147304024834237,-0.8279741891691725,-1.1020266818514837,2.288360875034786,-0.9475898056815462,1.9994368605261696,-0.6917151883195598,2.027004102485326,0.3244010179814443,Q3,August,USA
1983-09-01,-0.6470851923290872,-0.602326205264312,-0.8372953738787263,-0.6208511895296152,1.9973336266971267,1.9994007926078443,1.9769301706137372,-0.8238766919769719,-1.069196545619476,2.214588004336631,-0.9413839200350768,1.8199278482033792,-0.6909120269838646,2.2486733724523993,0.23180058890464508,Q3,September,USA
1983-10-01,-0.5274695439214682,-0.770217281262103,-0.8372953738787263,-0.8460083657910886,1.8864560839033913,1.8600072566381969,1.8580275229776182,-0.8184133623873715,-1.051357503525477,2.174012925452645,-0.9411919877875243,1.5805824984396601,-0.6844867362983016,2.39656987580327,0.17624033145856474,Q4,October,USA
1983-11-01,-0.6470851923290872,-0.770217281262103,-0.8372953738787263,-0.6208511895296152,1.925846085446343,1.9100050563871458,1.8956373853570467,-0.8143158651951711,-1.0409735163494496,2.229342578476262,-0.9443086433273961,1.4010734861168697,-0.6836835749626062,2.4764292202257003,0.3429211037968031,Q4,November,USA
1983-12-01,-0.6470851923290872,-0.770217281262103,-0.6200669936626372,-0.8460083657910886,1.9844844667403436,1.9997693148443798,1.987827839380509,-0.8102183680029705,-1.0294602480723893,2.2809835879649705,-0.945414268306856,1.2814008112350102,-0.6708329935914804,2.4904895553062656,0.6299824339348815,Q4,December,USA
1984-01-01,-0.6470851923290872,-0.770217281262103,-0.8372953738787263,0.2797775155162784,1.9222017330609404,1.963838396782144,1.927164149912146,-0.8006575412211696,-0.9830337473490663,2.2219652914064465,-0.9423991875978991,1.1018917989122199,-0.6796677682841293,2.443333471724795,1.1763249654879961,Q1,January,USA
1984-02-01,-0.6470851923290872,-0.602326205264312,-0.6200669936626372,0.2797775155162784,1.9702264076654943,2.035254127041336,1.9917949731859566,-0.7938283792341689,-0.9722448386627083,2.2846722314998784,-0.9552032936783564,0.9822191240303597,-0.6644077029059176,2.3239500423449773,0.9263038069806392,Q1,February,USA
1984-03-01,-0.5274695439214682,-0.770217281262103,-0.8372953738787263,0.2797775155162784,2.1468511243760497,2.201225345648799,2.171536116197331,-0.7897308820419684,-0.9608080555598218,2.4617271211754512,-0.9550731258873756,0.9822191240303597,-0.6603918962274408,2.124944991828448,1.259665351657116,Q1,March,USA
1984-04-01,-0.6470851923290872,-0.602326205264312,0.24884652720171932,0.5049346917777516,2.2499802343473614,2.269785557554124,2.24211585866249,-0.7842675524523679,-0.946388350664168,2.576075070757592,-0.9550617711170051,0.92238278658943,-0.6603918962274408,1.8554165367218534,0.8059232491807992,Q2,April,USA
1984-08-01,-0.04900695029099209,0.0692380987268517,-0.4028386134465481,-0.17053683700666847,2.536416408289745,2.5687115685847988,2.53594899090343,-0.7692433960809663,-0.9148674606488956,2.609272862571762,-0.947300098788324,0.8027101117075699,-0.6579824122203546,0.6452336333680374,1.083724536411197,Q3,August,USA
