date,3_month_recession_probability,recession_probability,INDPRO_diff1,OECD_CLI_index_rollstd12,OECD_CLI_index_rollstd3,3_months_rate_rollstd6,OECD_CLI_index_diff1,1_year_rate_diff3,3_months_rate_diff12,recession_probability_rollstd3,CPI_rollstd3,CSI_index_diff6,recession_probability_diff1,10_year_rate_diff3,INDPRO_diff6,1_year_rate_rollstd3,10_year_rate_rollstd3,6_months_rate_rollstd6,PPI_rollstd6,recession_probability_diff3,6_month_recession_probability,OECD_CLI_index_rollstd6,10_year_rate_diff1,CSI_index_diff1,recession_probability_rollmean6,share_price_diff1,CSI_index_diff3,recession_probability_rollstd12,10_year_rate_rollstd12,recession_probability_lag1,1_month_recession_probability
1968-12-01,-0.7394772627640973,-0.6333321413939771,0.0050549033091531,0.1899366250311337,0.047626821231642,0.0981595288298731,0.0149478938802307,0.2460786586747482,0.3187573674166737,0.093138968854666,0.0019316380640934,-0.0540993790763505,0.1613214262208554,0.1902995417602981,0.0365433553872593,0.103341881072213,0.0777969913191182,0.0964744366881699,0.0003992001050721,0.1613214262208554,-0.5739207092805206,0.1679495584925622,0.1101734189138568,0.0,-0.7050305530476906,0.0018451200615603,-0.0540993790763505,0.1108328430321037,0.0593046350476246,-0.7946535676148325,-0.6866246876773926
1969-01-01,-0.3079078822166946,-0.6871059501342623,0.0097121824249506,0.199682806417077,0.0204807867753482,0.1370767584826473,-0.0405013330343622,0.2305125066884215,0.3694194940721871,0.0821408496528124,0.0019316380640937,0.4482519980611879,-0.0537738087402852,0.1535750687890125,0.0486582031507869,0.092711418667684,0.0645939938180928,0.1380653074593185,0.0003155953935527,0.1075476174805701,-0.416339453105659,0.1280165961794509,0.003338588451935,0.5023513771375384,-0.6871059501342623,-0.0052571708941853,0.4482519980611879,0.1107586990770788,0.0688169485707394,-0.6333321413939771,-0.7943130716593702
1969-02-01,-0.5236925724903959,-0.7946535676148325,0.010338229027256,0.1957421690656673,0.0666166244908272,0.1351361718770726,-0.0896722860108651,0.2185995943819466,0.3687783419485646,0.0821408496528124,0.0012645539491385,0.4482519980611879,-0.1075476174805701,0.1635908341448178,0.0546267960957371,0.0378049568927505,0.0299233891640295,0.1438487817606629,0.0006311907871016,0.0,-0.048649855364315,0.0785454042374325,0.0500788267790259,0.0,-0.7498420603312616,-0.0010182525646698,0.5023513771375384,0.1126219686043754,0.0823643228104952,-0.6871059501342623,-0.7404688796683813
1969-03-01,-0.5776387450588213,-0.7408797588745473,0.0127451244104423,0.1841980814679481,0.111262180928835,0.1121577345888233,-0.131535565486348,0.0698986074360625,0.2747131592759636,0.0537738087402865,0.0026323789604121,0.4482519980611879,0.0537738087402852,0.0901418882022465,0.0614202477396701,0.0247062057471171,0.0435725231732961,0.1185420406981854,0.0007984002101415,-0.1075476174805701,-0.0911047367530063,0.0972416620920172,0.0367244729712855,0.0,-0.7408797588745474,-0.0034486223086668,0.5023513771375384,0.1119391093164464,0.0984240357758855,-0.7946535676148325,-0.3097153437404709
1969-04-01,-0.4158002273535452,-0.3106892889522665,-0.0060278135694924,0.1799715990332314,0.1523826820632696,0.084613926755127,-0.1723188435875062,-0.0093481010860198,0.2379109905956389,0.2652598995764242,0.0031823909834878,0.4482519980611879,0.4301904699222807,0.0434016498751557,0.0522622011586519,0.030078732508581,0.0233701191635445,0.0816180456940394,0.0018074553492982,0.3764166611819958,-0.138108355433343,0.1710058885417821,-0.0434016498751557,0.0,-0.6602190457641197,0.0019256876172492,0.0,0.1650798337170703,0.1034995054858578,-0.7408797588745473,-0.525092111704426
1969-05-01,-0.0381770193745678,-0.5257845239134069,-0.006167405041628,0.2053736229302643,0.1910092559880367,0.0232181069346811,-0.2091087101267228,-0.0312402110159665,0.1247892439347464,0.2150952349611405,0.0019316380640949,-0.0154569654503859,-0.2150952349611404,0.0434016498751557,0.0256552205606817,0.0246646176720705,0.027191226510447,0.0294906505124417,0.0021123684027336,0.2688690437014256,-0.1835957283497979,0.2487137998595027,0.0500788267790259,-0.5178083425879244,-0.6154075384805487,0.0039774237905544,-0.5178083425879244,0.1686896387187751,0.1137657629370419,-0.3106892889522665,-0.5789363036954148
1969-06-01,-0.0861537384210773,-0.5795583326536919,0.0158838175111888,0.2654312976619142,0.2105321594261532,0.0489856003647265,-0.2119524078498045,0.2125110285430264,0.2956243560193272,0.142272124975546,0.0019316380640949,-0.0154569654503859,-0.053773808740285,0.0901418882022466,0.0364841347627173,0.144910728479692,0.0674637229503326,0.0739289411671175,0.0020550083170234,0.1613214262208553,-0.2305993470301347,0.3125191248120378,0.0834647112983764,0.0,-0.6064452370238346,-0.0069393103000436,-0.5178083425879244,0.1660721077324428,0.1307059413946592,-0.5257845239134069,-0.4174037277224484
1969-07-01,-0.1325828213693121,-0.4182369064328366,0.0086715914508486,0.344073695392402,0.2000432043487692,0.1227579513812255,-0.1878927863128792,0.3572348543261193,0.5448163501789585,0.0821408496528119,0.0025291078982778,-0.5178083425879244,0.1613214262208553,0.183622364856428,0.0354435437886153,0.1720220672995207,0.0674637229503324,0.1424438814316145,0.0020981753971986,-0.1075476174805701,-0.2760867199465897,0.3512405126463639,0.0500788267790257,0.0,-0.5616337297402637,-0.0058710795465372,-0.5178083425879244,0.17285861052658,0.1415286124413809,-0.5795583326536919,-0.0404943837855267
1969-08-01,-0.1805595404158216,-0.0418202452508408,0.0037943500153225,0.424560868232104,0.1725576516240204,0.1480597956389799,-0.1567539360030537,0.3613835793037762,0.6119110990881472,0.2759457543361887,0.0019316380640961,-0.911960961572762,0.3764166611819958,0.1235277727215972,0.0288996647766819,0.0644775852323298,0.0264992243214361,0.1671672704658577,0.0019960005253515,0.4839642786625661,-0.3230903386269264,0.3600450635022507,-0.0100157653558048,-0.3941526189848374,-0.436161509346265,-0.0006454313979423,-0.3941526189848374,0.2362100138342231,0.1378824537525515,-0.4182369064328366,-0.0883804069906275
1969-09-01,-0.228536259462331,-0.0897418735738053,-0.000372243925695,0.4958165581430966,0.1498971565793138,0.1527389383602319,-0.1429341824458791,0.1466870617100193,0.6122060364218935,0.2048963038098305,0.0019316380640963,-0.911960961572762,-0.0479216283229644,0.1969767186641683,0.0157822964405445,0.0256537405791682,0.0878456999750993,0.1723633172508823,0.0016519843814593,0.4898164590798866,-0.3700939573072632,0.3432378763787292,0.1569136572409475,0.0,-0.327638528462808,0.0005693610307228,-0.3941526189848374,0.2671304752842019,0.1488947727783602,-0.0418202452508408,-0.1362664301957281
