realtime_start,realtime_end,date,value
2025-07-03,2025-07-03,1989-12-01,0.12
2025-07-03,2025-07-03,1990-01-01,0.28
2025-07-03,2025-07-03,1990-02-01,0.1
2025-07-03,2025-07-03,1990-03-01,0.2
2025-07-03,2025-07-03,1990-04-01,0.82
2025-07-03,2025-07-03,1990-05-01,1.38
2025-07-03,2025-07-03,1990-06-01,2.3
2025-07-03,2025-07-03,1990-07-01,10.22
2025-07-03,2025-07-03,1990-08-01,19.36
2025-07-03,2025-07-03,1990-09-01,37.06
2025-07-03,2025-07-03,1990-10-01,59.46
2025-07-03,2025-07-03,1990-11-01,63.32
2025-07-03,2025-07-03,1990-12-01,62.14
2025-07-03,2025-07-03,1991-01-01,60.06
2025-07-03,2025-07-03,1991-02-01,52.74
2025-07-03,2025-07-03,1991-03-01,35.1
2025-07-03,2025-07-03,1991-04-01,4.28
2025-07-03,2025-07-03,1991-05-01,0.76
2025-07-03,2025-07-03,1991-06-01,0.24
2025-07-03,2025-07-03,1991-07-01,0.36
2025-07-03,2025-07-03,1991-08-01,0.4
2025-07-03,2025-07-03,1991-09-01,0.2
2025-07-03,2025-07-03,1991-10-01,0.4
2025-07-03,2025-07-03,1991-11-01,0.42
2025-07-03,2025-07-03,1991-12-01,0.44
2025-07-03,2025-07-03,1992-01-01,0.24
2025-07-03,2025-07-03,1992-02-01,0.04
2025-07-03,2025-07-03,1992-03-01,0.04
2025-07-03,2025-07-03,1992-04-01,0.02
2025-07-03,2025-07-03,1992-05-01,0.02
2025-07-03,2025-07-03,1992-06-01,0.04
2025-07-03,2025-07-03,1992-07-01,0.04
2025-07-03,2025-07-03,1992-08-01,0.3
2025-07-03,2025-07-03,1992-09-01,0.08
2025-07-03,2025-07-03,1992-10-01,0.14
2025-07-03,2025-07-03,1992-11-01,0.04
2025-07-03,2025-07-03,1992-12-01,0.0
2025-07-03,2025-07-03,1993-01-01,0.06
2025-07-03,2025-07-03,1993-02-01,0.04
2025-07-03,2025-07-03,1993-03-01,0.48
2025-07-03,2025-07-03,1993-04-01,0.02
2025-07-03,2025-07-03,1993-05-01,0.16
2025-07-03,2025-07-03,1993-06-01,0.1
2025-07-03,2025-07-03,1993-07-01,0.04
2025-07-03,2025-07-03,1993-08-01,0.06
2025-07-03,2025-07-03,1993-09-01,0.04
2025-07-03,2025-07-03,1993-10-01,0.0
2025-07-03,2025-07-03,1993-11-01,0.02
2025-07-03,2025-07-03,1993-12-01,0.0
2025-07-03,2025-07-03,1994-01-01,0.0
2025-07-03,2025-07-03,1994-02-01,0.04
2025-07-03,2025-07-03,1994-03-01,0.0
2025-07-03,2025-07-03,1994-04-01,0.0
2025-07-03,2025-07-03,1994-05-01,0.04
2025-07-03,2025-07-03,1994-06-01,0.0
2025-07-03,2025-07-03,1994-07-01,0.0
2025-07-03,2025-07-03,1994-08-01,0.0
2025-07-03,2025-07-03,1994-09-01,0.02
2025-07-03,2025-07-03,1994-10-01,0.0
2025-07-03,2025-07-03,1994-11-01,0.0
2025-07-03,2025-07-03,1994-12-01,0.0
2025-07-03,2025-07-03,1995-01-01,0.02
2025-07-03,2025-07-03,1995-02-01,0.26
2025-07-03,2025-07-03,1995-03-01,0.12
2025-07-03,2025-07-03,1995-04-01,0.18
2025-07-03,2025-07-03,1995-05-01,0.08
2025-07-03,2025-07-03,1995-06-01,0.06
2025-07-03,2025-07-03,1995-07-01,0.1
2025-07-03,2025-07-03,1995-08-01,0.0
2025-07-03,2025-07-03,1995-09-01,0.06
2025-07-03,2025-07-03,1995-10-01,0.1
2025-07-03,2025-07-03,1995-11-01,0.06
2025-07-03,2025-07-03,1995-12-01,0.14
2025-07-03,2025-07-03,1996-01-01,0.38
2025-07-03,2025-07-03,1996-02-01,0.02
2025-07-03,2025-07-03,1996-03-01,0.1
2025-07-03,2025-07-03,1996-04-01,0.0
2025-07-03,2025-07-03,1996-05-01,0.0
2025-07-03,2025-07-03,1996-06-01,0.0
2025-07-03,2025-07-03,1996-07-01,0.06
2025-07-03,2025-07-03,1996-08-01,0.02
2025-07-03,2025-07-03,1996-09-01,0.0
2025-07-03,2025-07-03,1996-10-01,0.0
2025-07-03,2025-07-03,1996-11-01,0.0
2025-07-03,2025-07-03,1996-12-01,0.02
2025-07-03,2025-07-03,1997-01-01,0.0
2025-07-03,2025-07-03,1997-02-01,0.0
2025-07-03,2025-07-03,1997-03-01,0.0
2025-07-03,2025-07-03,1997-04-01,0.06
2025-07-03,2025-07-03,1997-05-01,0.0
2025-07-03,2025-07-03,1997-06-01,0.0
2025-07-03,2025-07-03,1997-07-01,0.02
2025-07-03,2025-07-03,1997-08-01,0.02
2025-07-03,2025-07-03,1997-09-01,0.0
2025-07-03,2025-07-03,1997-10-01,0.0
2025-07-03,2025-07-03,1997-11-01,0.0
2025-07-03,2025-07-03,1997-12-01,0.04
2025-07-03,2025-07-03,1998-01-01,0.02
2025-07-03,2025-07-03,1998-02-01,0.0
2025-07-03,2025-07-03,1998-03-01,0.04
2025-07-03,2025-07-03,1998-04-01,0.04
2025-07-03,2025-07-03,1998-05-01,0.02
2025-07-03,2025-07-03,1998-06-01,0.42
2025-07-03,2025-07-03,1998-07-01,0.48
2025-07-03,2025-07-03,1998-08-01,0.0
2025-07-03,2025-07-03,1998-09-01,0.02
2025-07-03,2025-07-03,1998-10-01,0.04
2025-07-03,2025-07-03,1998-11-01,0.06
2025-07-03,2025-07-03,1998-12-01,0.04
2025-07-03,2025-07-03,1999-01-01,0.06
2025-07-03,2025-07-03,1999-02-01,0.02
2025-07-03,2025-07-03,1999-03-01,0.04
2025-07-03,2025-07-03,1999-04-01,0.06
2025-07-03,2025-07-03,1999-05-01,0.04
2025-07-03,2025-07-03,1999-06-01,0.04
2025-07-03,2025-07-03,1999-07-01,0.02
2025-07-03,2025-07-03,1999-08-01,0.06
2025-07-03,2025-07-03,1999-09-01,0.12
2025-07-03,2025-07-03,1999-10-01,0.02
2025-07-03,2025-07-03,1999-11-01,0.02
2025-07-03,2025-07-03,1999-12-01,0.02
2025-07-03,2025-07-03,2000-01-01,0.08
2025-07-03,2025-07-03,2000-02-01,0.02
2025-07-03,2025-07-03,2000-03-01,0.0
2025-07-03,2025-07-03,2000-04-01,0.02
2025-07-03,2025-07-03,2000-05-01,0.32
2025-07-03,2025-07-03,2000-06-01,0.52
2025-07-03,2025-07-03,2000-07-01,0.54
