date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,CSI_index_trend,10_year_rate_trend,3_months_rate_trend,1_year_rate_trend,unemployment_rate_trend,6_months_rate_trend,PPI_trend,CPI_trend,gdp_per_capita_trend,gdp_per_capita_residual,OECD_CLI_index_trend,OECD_CLI_index_residual,3_months_rate_residual,INDPRO_trend,share_price_trend,6_months_rate_residual,1_year_rate_residual,10_year_rate_residual
1995-10-01,0.1,0.06,0.38,0.0,5.281428571428571,5.2785714285714285,5.323809523809524,153.5,72.5336,6.04,30.87537,5.5,127.1,98.57647257230629,90.2,43044.0,91.26444655553026,6.219777591179823,5.269142288851758,5.253952237845848,5.593256451011649,5.271347680315297,126.93465659196151,153.61386349037676,43120.3348521306,-116.25626347543584,98.79769625453076,-0.1760727573368825,0.1050160763735901,72.56582451530745,31.098519951904084,0.1330578642224411,0.1431847766098073,-0.0598284262423538
1995-11-01,0.06,0.14,0.02,0.0,5.1433333333333335,5.356190476190476,5.273333333333333,153.7,72.717,5.93,31.44986,5.6,126.7,98.5553591518315,88.2,43115.66666666666,91.22207186249832,6.194104093613147,5.21731020409063,5.209588463565559,5.585382368272692,5.219017215401327,126.816063338338,153.96996006575463,43213.356761889394,-105.90463588741112,98.79405696502208,-0.213724980781194,0.0856251118223454,72.81770118985615,31.680929284403657,0.0257526724887782,-0.0395043849831715,-0.2042101805851146
1995-12-01,0.14,0.38,0.1,0.0,5.0280000000000005,5.1435,5.1265,153.9,72.9638,5.71,32.47175,5.6,126.6,98.57224312999372,91.0,43187.333333333336,91.23776434626596,6.198422101435127,5.173463545566695,5.187557000959715,5.57009392447449,5.18125612589165,126.67639033053416,154.32927988185307,43312.56213788244,-101.1475053800168,98.8196997073128,-0.2484347786851799,-0.0479397696082193,73.09323547389997,32.21605690482868,-0.1039713283391643,-0.1883403976976563,-0.3651397605075841
1996-01-01,0.38,0.02,0.0,0.06,4.824761904761904,4.996666666666667,4.921428571428571,154.7,72.5712,5.65,32.60315,5.6,126.2,98.6391808599341,89.3,43259.0,91.3014466840482,6.224000109807903,5.137532768247327,5.181790964019467,5.547904666704062,5.155117832988423,126.54349845839064,154.69270312985174,43415.84266979752,-99.86852226049814,98.86887836336456,-0.2557631749375844,-0.0901817123082562,73.38594284168126,32.71342834524562,-0.1683667392224892,-0.2842951813762715,-0.4627067792302091
1996-02-01,0.02,0.1,0.0,0.02,4.6895,4.8265,4.7695,155.0,73.6207,5.81,34.309909999999995,5.5,126.2,98.7640082693503,88.5,43458.0,91.44454867927114,6.26139516889186,5.108413480173855,5.185618604094245,5.521147633556136,5.137066365780661,126.44069841611554,155.06314908556936,43521.93832049662,-34.03642496764951,98.93608197049376,-0.2157861681720163,-0.2541536017445107,73.68940115815343,33.19282295789815,-0.2908481435383709,-0.400534373539906,-0.3441065637405778
1996-03-01,0.1,0.0,0.0,0.0,5.060952380952381,4.962380952380952,4.961904761904762,155.5,73.5141,6.27,34.33728,5.5,126.5,98.9340002501361,93.7,43657.0,91.70865800220396,6.301933672169005,5.08374452928572,5.192635061491703,5.49231140714694,5.123160522907763,126.38420972304417,155.44325707571917,43630.4369079783,30.01851380195876,99.01692538839632,-0.1321401174682819,-0.1559991093170163,74.00234742321186,33.67239042545834,-0.167773210961899,-0.1577484133345317,-0.0749583363503054
1996-04-01,0.0,0.0,0.06,0.0,5.234545454545454,4.951818181818182,5.060909090909092,156.1,74.2491,6.51,34.41352,5.6,126.0,99.1136738088346,92.7,43856.0,92.12058621788005,6.342832005825642,5.061708508685173,5.200210846681716,5.464215790299354,5.111366244042205,126.38302048949755,155.83401602850458,43740.93423626594,92.6069365955118,99.10826039338602,-0.0376848905287943,-0.0885439382917532,74.32618173360734,34.16386409324392,-0.0605039364897086,-0.0304252819272239,0.0246667841271408
1996-05-01,0.0,0.0,0.02,0.0,5.325909090909091,5.015454545454546,5.119545454545454,156.4,74.8142,6.74,35.14032,5.6,126.2,99.2812890317234,89.4,43939.0,92.6663667003227,6.386507291785179,5.0430650123928285,5.210517648798539,5.438385392734068,5.102960808936553,126.45242125428032,156.23322059651704,43852.63338108864,74.89362083772721,99.20773162732182,0.0467309052314419,-0.0801237939433248,74.66435436300328,34.67720168020939,-0.0743708320091203,0.0036363435259749,0.1588147771321457
1996-06-01,0.0,0.06,0.0,0.02,5.482,5.093999999999999,5.2455,156.7,75.3726,6.91,35.484359999999995,5.3,125.5,99.41689234055892,92.4,44022.0,93.30659002587193,6.433926821625283,5.0295841143525335,5.226402157666319,5.414156079307666,5.10007042497393,126.59755156169778,156.63595724518493,43964.6544578511,57.22848939454707,99.313219364531,0.1000037438057575,0.0471737331890711,75.02271569930396,35.22085872359368,0.0837542442042655,0.1761014301833254,0.363826914784302
1996-07-01,0.06,0.02,0.0,0.0,5.5213636363636365,5.150454545454545,5.297272727272727,157.0,75.3738,6.87,34.21694,5.5,126.6,99.51134033252708,94.7,44105.0,94.00239366519163,6.483064016887008,5.023224255451568,5.249264190411399,5.389670862091144,5.104566577918699,126.81775431862012,157.03460066024925,44076.50191355031,40.09871067712084,99.42250066031087,0.1099212398371776,0.0938698329331844,75.4021011191677,35.78907339567732,0.1800437631114837,0.2465221048641961,0.3171567015567449
1996-08-01,0.02,0.0,0.0,0.0,5.354545454545455,5.046818181818182,5.13,157.2,75.7557,6.64,35.1152,5.1,125.8,99.5859380787546,95.3,44210.333333333336,94.74395804694926,6.530107069272547,5.024634871642096,5.278287380531443,5.363364652004747,5.116723211555498,127.10996916255296,157.42017387329133,44188.232841115154,12.69846726427204,99.53332846026603,0.0950048529381604,-0.0185365715001157,75.79609196029207,36.36156541847531,-0.0082738065123377,0.0602019096669739,0.069249696437688
