iter	Passed	Remaining
559	7136	5607
560	7144	5590
561	7153	5574
562	7162	5559
563	7171	5543
564	7178	5527
565	7188	5511
566	7198	5496
567	7210	5483
568	7223	5471
569	7234	5457
570	7244	5443
571	7253	5427
572	7263	5412
573	7272	5397
574	7280	5381
575	7287	5364
576	7295	5348
577	7303	5331
578	7311	5316
579	7318	5299
580	7327	5284
581	7334	5267
582	7342	5251
583	7349	5235
584	7357	5219
585	7365	5203
586	7372	5187
587	7380	5171
588	7387	5155
589	7395	5139
590	7402	5123
591	7412	5108
592	7418	5091
593	7426	5076
594	7433	5059
595	7441	5044
596	7448	5027
597	7456	5012
598	7464	4997
599	7471	4981
600	7480	4966
601	7488	4951
602	7496	4935
603	7505	4920
604	7512	4904
605	7520	4889
606	7527	4873
607	7535	4858
608	7543	4843
609	7558	4832
610	7568	4818
611	7576	4803
612	7591	4792
613	7599	4777
614	7608	4762
615	7615	4747
616	7623	4732
617	7630	4716
618	7639	4702
619	7646	4686
620	7654	4671
621	7662	4656
622	7669	4641
623	7677	4626
624	7687	4612
625	7695	4597
626	7706	4584
627	7715	4570
628	7723	4555
629	7732	4541
630	7739	4526
631	7748	4511
632	7755	4496
633	7763	4481
634	7771	4467
635	7780	4452
636	7788	4438
637	7796	4423
638	7804	4408
639	7812	4394
640	7819	4379
641	7828	4365
642	7836	4350
643	7845	4336
644	7853	4322
645	7862	4308
646	7873	4295
647	7881	4281
648	7889	4266
649	7898	4252
650	7906	4238
651	7914	4224
652	7921	4209
653	7929	4195
654	7937	4180
655	7945	4166
656	7953	4152
657	7961	4138
658	7969	4123
659	7977	4109
660	7986	4095
661	7993	4081
662	8001	4066
663	8007	4052
664	8014	4037
665	8022	4023
666	8029	4008
667	8036	3994
668	8043	3979
669	8050	3965
670	8057	3950
671	8066	3937
672	8074	3923
673	8081	3908
674	8088	3894
675	8095	3880
676	8102	3865
677	8109	3851
678	8116	3837
679	8124	3823
680	8133	3809
681	8139	3795
682	8147	3781
683	8154	3767
684	8162	3753
685	8170	3739
686	8178	3726
687	8186	3712
688	8194	3698
689	8203	3685
690	8212	3672
691	8220	3658
692	8227	3645
693	8235	3631
694	8243	3617
695	8250	3603
696	8257	3589
697	8264	3575
698	8271	3562
699	8283	3549
700	8291	3536
701	8299	3522
702	8306	3509
703	8314	3496
704	8323	3482
705	8333	3470
706	8341	3457
707	8350	3443
708	8357	3430
709	8366	3417
710	8374	3404
711	8382	3390
712	8389	3377
713	8396	3363
714	8403	3349
715	8410	3335
716	8417	3322
717	8424	3308
718	8431	3295
719	8439	3281
720	8445	3268
721	8452	3254
722	8459	3241
723	8467	3227
724	8475	3214
725	8484	3202
726	8493	3189
727	8502	3176
728	8511	3164
729	8522	3152
730	8529	3138
731	8537	3125
732	8544	3112
733	8551	3099
734	8558	3085
735	8566	3072
736	8572	3059
737	8580	3046
738	8587	3033
739	8595	3019
740	8602	3006
741	8609	2993
742	8618	2980
743	8625	2967
744	8635	2955
745	8649	2945
746	8657	2932
747	8665	2919
748	8673	2906
749	8681	2893
750	8690	2881
751	8698	2868
752	8706	2855
753	8715	2843
754	8726	2831
755	8738	2820
756	8749	2808
757	8773	2801
758	8791	2791
759	8804	2780
760	8818	2769
761	8833	2759
762	8848	2748
763	8863	2737
764	8878	2727
765	8903	2719
766	8917	2708
767	8932	2698
768	8947	2687
769	8963	2677
770	8979	2667
771	8996	2657
772	9011	2646
773	9025	2635
774	9037	2623
775	9052	2613
776	9068	2602
777	9083	2591
778	9096	2580
779	9113	2570
780	9127	2559
781	9144	2549
782	9159	2538
783	9175	2528
784	9191	2517
